Order ID,Customer ID,Product ID,Date,Original Price,Discount%
OD0001,C001,P0001,2021-10-30,349,0.3
OD0002,C002,P0001,2022-06-03,350,0.3
OD0003,C003,P0001,2021-04-16,351,0.3
OD0004,C004,P0001,2023-03-24,352,0.25
OD0005,C005,P0001,2021-04-26,353,0.25
OD0006,C006,P0002,2022-06-01,354,0.3
OD0007,C007,P0003,2023-02-28,355,0.3
OD0008,C008,P0004,2022-05-15,356,0.3
OD0009,C009,P0005,2023-03-01,2222,0.4
OD0010,C010,P0006,2022-12-02,2342,0.4
OD0011,C011,P0007,2022-01-01,2241,0.4
OD0012,C012,P0007,2021-01-21,2253,0.4
OD0013,C013,P0007,2022-08-25,2245,0.4
OD0014,C014,P0008,2022-06-28,2231,0.4
OD0015,C015,P0009,2021-10-22,2452,0.45
OD0016,C016,P0010,2022-12-06,2236,0.45
OD0017,C017,P0011,2022-11-26,2245,0.45
OD0018,C018,P0012,2021-08-28,2235,0.47
OD0019,C019,P0012,2021-10-15,2214,0.47
OD0020,C020,P0012,2022-01-09,2231,0.46
OD0021,C021,P0013,2022-05-13,2145,0.46
OD0022,C022,P0014,2022-03-02,2356,0.46
OD0023,C023,P0015,2022-11-03,2412,0.3
OD0024,C024,P0016,2021-06-06,2234,0.3
OD0025,C025,P0017,2021-05-20,2214,0.3
OD0026,C026,P0018,2022-03-08,999,0.3
OD0027,C027,P0019,2022-06-13,1119,0.3
OD0028,C028,P0020,2022-03-15,1119,0.35
OD0029,C029,P0021,2022-03-17,1119,0.35
OD0030,C030,P0022,2022-02-15,1119,0.35
OD0031,C031,P0023,2023-03-12,985,0.35
OD0032,C032,P0024,2022-04-08,985,0.35
OD0033,C033,P0024,2022-11-27,985,0.35
OD0034,C034,P0024,2021-04-19,985,0.4
OD0035,C035,P0025,2021-09-15,985,0.4
OD0036,C036,P0026,2021-05-25,369,0.15
OD0037,C037,P0027,2021-08-14,399,0.15
OD0038,C038,P0028,2022-06-26,399,0.15
OD0039,C039,P0029,2022-05-01,399,0.35
OD0040,C040,P0030,2021-07-01,399,0.35
OD0041,C041,P0031,2022-02-13,555,0.35
OD0042,C042,P0032,2022-03-03,555,0.35
OD0043,C043,P0033,2022-02-26,555,0.55
OD0044,C044,P0034,2021-06-28,555,0.55
